,zh
31,相信新华社客户端亚太频道必将成为服务国家大局、赋能由治及兴、讲好香港故事、传播中国声音、树立中国形象的又一重要平台
32,
33,  会议还研究了其他事项
34,  会议强调，今年是“十四五”规划收官之年，做好政府工作，要在以习近平同志为核心的党中央坚强领导下，以习近平新时代中国特色社会主义思想为指导，全面贯彻落实党的二十大和二十届二中、三中全会精神，按照中央经济工作会议部署，坚持稳中求进工作总基调，完整准确全面贯彻新发展理念，加快构建新发展格局，扎实推动高质量发展，进一步全面深化改革，扩大高水平对外开放，建设现代化产业体系，更好统筹发展和安全，实施更加积极有为的宏观政策，扩大国内需求，推动科技创新和产业创新融合发展，稳住楼市股市，防范化解重点领域风险和外部冲击，稳定预期、激发活力，推动经济持续回升向好，不断提高人民生活水平，保持社会和谐稳定，高质量完成“十四五”规划目标任务，为实现“十五五”良好开局打牢基础
35,
36,  王毅参加会见
37,  绍伊古转达普京总统对习近平主席的亲切问候，表示普京总统高度珍视同习近平主席的真挚友谊和密切联系
38,俄中关系处于前所未有的高水平，不针对任何第三方
39,俄中组合在世界上发挥了重要作用，树立了大国关系典范
40,俄中始终相互信任、平等对话，两国战略合作符合双方共同利益
41,俄方将切实落实两国元首达成的重要共识，坚定不移加强对华合作
42,中方一直积极推动乌克兰危机和平解决，俄方对此深表赞赏
43,
44,  文章指出，经济工作千头万绪，必须统筹好几对重要关系
45,一是必须统筹好有效市场和有为政府的关系，形成既“放得活”又“管得住”的经济秩序
46,政府要有所为、有所不为，解决好缺位、越位问题
47,政府行为越规范，市场作用就越有效
48,二是必须统筹好总供给和总需求的关系，畅通国民经济循环
49,要坚持供需两侧协同发力、动态平衡，持续深化供给侧结构性改革
50,要加快补上内需特别是消费短板，使内需成为拉动经济增长的主动力和稳定锚
51,三是必须统筹好培育新动能和更新旧动能的关系，因地制宜发展新质生产力
52,要以科技创新为引领，大力培育壮大新兴产业和未来产业，加快推动作为经济增长和就业收入基本依托的传统产业改造升级，推动新旧发展动能平稳接续转换
53,四是必须统筹好做优增量和盘活存量的关系，全面提高资源配置效率
54,善于通过盘活存量来带动增量，统筹做优增量和盘活存量、管好资产和调整负债，拓展新的发展空间
55,五是必须统筹好提升质量和做大总量的关系，夯实中国式现代化的物质基础
56,要坚持以质取胜和发挥规模效应相统一，把质的有效提升和量的合理增长统一于高质量发展的全过程
57,
58,  王彩云说，希望能通过自己的建议，推动实现乳品深加工技术的创新突破和产业化应用实践，助力乳业高质量发展
59,
60,　　普京本周早些时候说，俄方愿意邀请美国参与开发俄罗斯矿产资源
61,俄总统新闻秘书德米特里·佩斯科夫说，双方可以联手开发北极地区自然资源
62,（胡若愚）
63,在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
64,公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
65,同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
66,这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
67,（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
68,公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
69,同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
70,在零部件领域，东风汽车实施了“跃创工程”
71,公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
72,同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
73,在商用车领域，东风汽车实施了“跃升工程”
74,公司通过优化产品结构、提升产品质量和服务水平等方式，增强商用车市场的竞争力
75,在自主研发方面，东风汽车实施了“跃动工程”
76,公司通过加强自主研发团队建设、加大研发投入等方式，提升自主研发能力和水平
77,同时，东风汽车还注重技术创新和成果转化，将研发成果转化为实际生产力，推动公司的快速发展
78,在新能源领域，东风汽车实施了“跃迁行动”
79,公司通过加大新能源汽车的研发和生产投入，推动新能源汽车产业的快速发展
80,不断引进和吸收先进技术和管理经验，提升新能源汽车的技术水平和市场竞争力
81,
82,在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
83,公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
84,同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
85,这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
86,（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
87,公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
88,同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
89,在零部件领域，东风汽车实施了“跃创工程”
90,公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
91,同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
92,在商用车领域，东风汽车实施了“跃升工程”
93,公司通过优化产品结构、提升产品质量和服务水平等方式，增强商用车市场的竞争力
94,在自主研发方面，东风汽车实施了“跃动工程”
95,公司通过加强自主研发团队建设、加大研发投入等方式，提升自主研发能力和水平
96,同时，东风汽车还注重技术创新和成果转化，将研发成果转化为实际生产力，推动公司的快速发展
97,在新能源领域，东风汽车实施了“跃迁行动”
98,公司通过加大新能源汽车的研发和生产投入，推动新能源汽车产业的快速发展
99,不断引进和吸收先进技术和管理经验，提升新能源汽车的技术水平和市场竞争力
100,深化改革创新是东风汽车发展的动力源泉
101,在激烈的市场竞争中，东风汽车深知只有不断改革和创新，才能保持企业的竞争力和活力
102,因此，公司实施了一系列深化改革创新的举措，激发了发展活力，提高了组织运营效率
103,深化改革创新，激发发展活力随着全球化的深入发展，东风汽车也积极拓展海外市场，提升全球影响力
104,公司通过与多家全球头部企业的合作和交流，不断引进和吸收先进技术和管理经验，提升自身的国际竞争力
105,同时，东风汽车还加强海外市场的布局和拓展，推动产品在全球市场的销售和服务
106,目前，东风汽车的产品已经覆盖全球多个国家和地区，赢得了广泛的市场认可和用户好评
107,在品牌建设过程中，东风汽车还注重提升产品质量和服务水平
108,公司通过引进先进的管理理念和技术手段，不断优化生产流程和质量管理体系，确保产品质量的稳定性和可靠性
109,同时，东风汽车还加强售后服务体系建设，为用户提供更加便捷、高效的服务体验
110,这些举措的实施，不仅提升了用户对东风品牌的满意度和忠诚度，也为东风汽车在全球市场的竞争提供了有力保障
111,为了提升品牌知名度，东风汽车举办了一系列重大活动
112,如新车下线庆典、科技创新周等，这些活动不仅展示了东风汽车的实力和技术成果，也增强了用户对东风品牌的认知和信任
113,同时，东风汽车还积极登上主流媒体舞台，通过广告宣传、公益活动等方式，扩大品牌影响力，让更多人了解并认可东风品牌
114,品牌建设是东风汽车发展的重要支撑
115,在激烈的市场竞争中，东风汽车深知品牌建设的重要性，因此制定了明确的品牌发展规划，致力于成为为用户提供优质汽车产品和服务的卓越科技企业
116,品牌建设升级，提升全球影响力在科技创新的引领下，东风汽车不断打造自身的核心竞争力
117,公司通过加大研发投入、引进先进技术、加强国际合作等方式，不断提升自身的研发能力和技术水平
118,同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的研发团队
119,这支团队以创新的思维和严谨的态度，不断攻克技术难题，为东风汽车的发展提供了有力支持
120,此外，东风汽车还注重车路云一体化的研发和应用
121,通过与地方政府、通信企业等合作，东风汽车推动车路云一体化技术的落地实施，为智能交通系统的发展提供了有力支撑
122,这一技术的应用，不仅提高了道路交通的效率和安全性，也为东风汽车在智能网联汽车领域的布局提供了有力保障
123,除了新能源技术的研发，东风汽车还加速智能化发展，积极拥抱未来出行的新趋势
124,公司发布了智能品牌，致力于为用户提供更加智能、便捷的出行体验
125,在智能座舱方面，东风汽车通过引入人工智能、大数据等技术，实现了座舱的个性化定制和智能化服务
126,用户可以根据自己的喜好和需求，调整座舱的布局和功能，享受更加舒适的驾驶体验
127,在自动驾驶方面，东风汽车积极研发自动驾驶技术，推动自动驾驶汽车的商业化应用
128,通过与高校、科研机构的合作，东风汽车不断突破技术瓶颈，提高自动驾驶汽车的安全性和可靠性
129,
130,  生命的力量，是患者与医者共同书写的奇迹
131,面对前行道路上的荆棘，只要心中有光，脚下有路，生命的奇迹就永远不会停止绽放
132,  “梦虽遥，追则能达；愿虽艰，持则可圆
133,”穿梭在国际罕见病日多个活动现场，那些医患间的信任与托付，让记者不断回味着张抒扬院长的话语
134,
135,　　《实施意见》提出了实施生态环境领域科技创新五大行动
136,一是生态环境领域基础研究提升行动，重点加强基础研究前沿布局，加大基础研究支持力度
137,二是关键技术攻关行动，重点推进实施一批关键技术攻关重大项目，开展国家重大战略区域和重点地区生态环境科技集成示范
138,三是生态环境科技成果转移转化行动，重点加快生态环境科技成果转化应用，强化绿色低碳产业链创新链融合
139,四是科技创新平台基地优化行动，重点优化一批科技创新平台基地建设，推动生态环境科研基础设施建设，建立健全生态环境领域的国家战略科技力量
140,五是高水平科技人才引领提升行动，重点加强生态环境科技人才队伍建设
141,（记者 寇江泽）
142,　　李家超对傅华的到访表示欢迎
143,他感谢新华社多年来积极报道香港新闻，把最新和最准确的信息快速和专业地传递到世界各地
144,香港特区政府未来会继续与新华社携手向全球讲好香港故事
145,
146,　　据介绍，大阪世博会中国馆的吉祥物是一只名叫悠悠的大熊猫
147,“作为中国的国宝，大熊猫始终是中国在重大国际盛事上的友好使者
148,它娇萌可爱、温和敦厚，是亲仁善邻、讲信修睦的中国文化符号，也是善良友好情感的生动化身
149,希望借助它这一显著特质，传达中国加强生物多样性保护，与全球各国一道共同构建人与自然和谐共生的地球家园美好愿景
150,”杨帆说
151,（记者韩佳诺、潘洁）
152,　　李大宏表示，香港新闻工作者联会爱国爱港的创会初心始终不改，期待未来与新华社紧密合作，为“一国两制”成功实践做更多有益的工作
153,
154,　　李家超对傅华的到访表示欢迎
155,他感谢新华社多年来积极报道香港新闻，把最新和最准确的信息快速和专业地传递到世界各地
156,香港特区政府未来会继续与新华社携手向全球讲好香港故事
157,　　傅华指出，新华社作为国家通讯社，与香港有着深厚的历史渊源和合作基础，见证并参与了香港在不同历史阶段的发展
158,新一届特区政府成立以来，团结带领社会各界奋发有为、务实进取，巩固了香港稳定发展的良好态势
159,希望双方进一步加强交流合作，深刻把握更好发挥“一国两制”制度优势的实践要求，讲好香港“一国两制”成功实践的故事，助力香港巩固提升独特地位和优势，续写新时代香江传奇
160,
161,在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
162,公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
163,同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
164,这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
165,（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
166,公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
167,同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
168,在零部件领域，东风汽车实施了“跃创工程”
169,公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
170,同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
171,在商用车领域，东风汽车实施了“跃升工程”
172,公司通过优化产品结构、提升产品质量和服务水平等方式，增强商用车市场的竞争力
173,在自主研发方面，东风汽车实施了“跃动工程”
174,公司通过加强自主研发团队建设、加大研发投入等方式，提升自主研发能力和水平
175,同时，东风汽车还注重技术创新和成果转化，将研发成果转化为实际生产力，推动公司的快速发展
176,在新能源领域，东风汽车实施了“跃迁行动”
177,公司通过加大新能源汽车的研发和生产投入，推动新能源汽车产业的快速发展
178,不断引进和吸收先进技术和管理经验，提升新能源汽车的技术水平和市场竞争力
179,深化改革创新是东风汽车发展的动力源泉
180,在激烈的市场竞争中，东风汽车深知只有不断改革和创新，才能保持企业的竞争力和活力
181,因此，公司实施了一系列深化改革创新的举措，激发了发展活力，提高了组织运营效率
182,深化改革创新，激发发展活力随着全球化的深入发展，东风汽车也积极拓展海外市场，提升全球影响力
183,公司通过与多家全球头部企业的合作和交流，不断引进和吸收先进技术和管理经验，提升自身的国际竞争力
184,同时，东风汽车还加强海外市场的布局和拓展，推动产品在全球市场的销售和服务
185,目前，东风汽车的产品已经覆盖全球多个国家和地区，赢得了广泛的市场认可和用户好评
186,在品牌建设过程中，东风汽车还注重提升产品质量和服务水平
187,公司通过引进先进的管理理念和技术手段，不断优化生产流程和质量管理体系，确保产品质量的稳定性和可靠性
188,同时，东风汽车还加强售后服务体系建设，为用户提供更加便捷、高效的服务体验
189,这些举措的实施，不仅提升了用户对东风品牌的满意度和忠诚度，也为东风汽车在全球市场的竞争提供了有力保障
190,为了提升品牌知名度，东风汽车举办了一系列重大活动
191,如新车下线庆典、科技创新周等，这些活动不仅展示了东风汽车的实力和技术成果，也增强了用户对东风品牌的认知和信任
192,同时，东风汽车还积极登上主流媒体舞台，通过广告宣传、公益活动等方式，扩大品牌影响力，让更多人了解并认可东风品牌
193,
194,  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
195,  自然资源部有关负责人强调，要强化规划权威
196,规划一经批复，任何部门和个人不得随意修改、违规变更，防止出现换一届党委和政府改一次规划
197,下级国土空间规划要服从上级国土空间规划，相关专项规划、详细规划要服从总体规划；坚持先规划、后实施，不得违反国土空间规划进行各类开发建设活动；坚持“多规合一”，不在国土空间规划体系之外另设其他空间规划
198,  此外，规划将统筹农业、生态、城镇空间，完善城镇体系和村庄布局，完善城市功能结构和空间布局，协调产业布局、综合交通、设施配置和土地使用，统筹水利、能源、环境、通信、国防等基础设施以及城乡公共服务设施布局等
199,加强规划与土地政策融合，统筹增量和存量空间，大力盘活存量空间，科学有序推进低效用地再开发和土地综合整治，加强地上地下空间一体化规划和利用，推动土地利用提质增效，为城市转型发展和有机更新提供新动能
200,  据介绍，本轮规划将严格落实国家和省级国土空间规划下达的耕地和永久基本农田、生态保护红线、城镇开发边界三条控制线，将其作为调整经济结构、规划产业发展、推进城镇化不可逾越的红线
201,同时加强区域协同，发挥超大特大城市的区域发展引擎作用，引领形成多中心、网络化、开放式、集约型的区域发展格局，促进形成以城市群、都市圈为主要形态的新型城镇化格局，构建支撑新发展格局的主体功能明显、优势互补、高质量发展的国土空间体系
202,
203,　　在本次人文对话交流会上，新华社国家高端智库发布了《以文明交流互鉴推动人类文明发展进步》智库报告
204,　　日中协会会长野田毅、日中友好议员联盟干事长近藤昭一、东京广播公司董事长佐佐木卓等日方嘉宾在致辞中表示，在当前国际形势下，日中双方应进一步加强对话和人文交流，两国媒体智库在促进相互理解和交流方面发挥着至关重要的作用，希望以此次对话交流会为契机，加深和拓展日中媒体智库间的合作，推动两国关系改善发展
205,
206,  生命的力量，是患者与医者共同书写的奇迹
207,面对前行道路上的荆棘，只要心中有光，脚下有路，生命的奇迹就永远不会停止绽放
208,
209,在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
210,公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
211,同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
212,这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
213,（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
214,公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
215,同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
216,在零部件领域，东风汽车实施了“跃创工程”
217,公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
218,同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
219,在商用车领域，东风汽车实施了“跃升工程”
220,公司通过优化产品结构、提升产品质量和服务水平等方式，增强商用车市场的竞争力
221,
222,　　采访中，不少黄金店铺的负责人告诉记者，春节后受黄金价格走高影响，店里的客流量和黄金饰品的销量都出现了大幅增长
223,而与之形成鲜明对比的是，金店的金条回收业务并没有出现明显上涨，总体保持平稳
224,
225,  免去赵昌华的司法部副部长职务；免去朱咏雷的国家广播电视总局副局长职务；免去胡劲军的中央广播电视总台副台长职务；免去郝军辉的国家消防救援局政治委员职务
226,  任命吴言军为司法部副部长；任命刘建国为国家广播电视总局副局长；任命张勇为国家疾病预防控制局副局长
227,  国务院任免国家工作人员
228,
229,　　“施压、胁迫和威胁不是同中国打交道的正确方式，相互尊重是基本前提
230,中方敦促美方纠正错误做法，回到通过平等磋商解决各自关切的正确轨道
231,”林剑说
232,
233,  中央驻港机构、香港特区政府、驻港中资机构及香港各界代表参加了当天的开通仪式
234,  同日，“国社之镜·世纪光影”新华社新闻摄影展在香港举行
235,这些新华社摄影精品生动展现了新中国成立以来的历史变迁和伟大成就
236,开通仪式后，嘉宾们共同参观了摄影展
237,  新华社客户端是海内外受众了解中国故事的“掌上门户”
238,此次上线开通的新华社客户端亚太频道，设有焦点、港澳、镜观、访谈等栏目，向广大受众提供高质量新闻信息服务，深入阐释中国理念、中国主张、中国方案，向受众展示真实、立体、全面的中国
239,  中央人民政府驻香港特别行政区联络办公室秘书长王松苗表示，新华社是国家通讯社和具有全球影响力的世界级媒体，长期以来赢得了国内外受众的广泛赞誉
240,相信新华社客户端亚太频道必将成为服务国家大局、赋能由治及兴、讲好香港故事、传播中国声音、树立中国形象的又一重要平台
241,  香港特别行政区政府政务司司长陈国基表示，新华社拥有遍布全球的新闻网络，一直通过客观、公正的报道，让世界了解国家和香港的真实面貌和最新发展
242,期待香港社会各界与新华社继续携手同行，更全面地向世界展示“一国两制”的辉煌成就和独有魅力
243,  在香港举行的开通仪式上，新华通讯社社长傅华指出，新华社愿以客户端亚太频道上线为契机，持续创新传播方式，用心用情向世界宣介好习近平新时代中国特色社会主义思想的真理力量，展现好进一步全面深化改革、推进中国式现代化的万千气象，反映好香港全力拼经济、谋发展、惠民生、添幸福的丰硕成果，报道好中国与地区国家推动构建亚太命运共同体、努力开创亚太发展新时代的进展成效，让全世界都能听到并听清我们的声音
244,
245,  中国地质科学院地质研究所离子探针中心名誉主任刘敦一说，关于月球起源，有一种假说称，月球是早期地球受到行星尺度撞击后分离的碎块凝聚形成，没有经历过板块运动、风化等改造，能记录自其形成以来的完整演化历史
246,相关研究可以为月球、地球甚至太阳系的早期演化的研究提供线索，为世界带来更多新知
247,  下一步，研究团队还将开展月球与太阳系早期撞击事件和月球深部物质等方面的研究
248,  对月背玄武岩中铅同位素的研究还揭示，月球的正面和背面在岩浆洋结晶后的演化过程存在差异
249,而大型撞击会使月球铅同位素组成产生变化，研究团队由此判断，形成月背南极-艾特肯盆地的巨大撞击，可能改造了该区域月幔的物理化学性质，导致如今月球正面和背面呈现出显著的差异
250,
251,  俄罗斯政治学者叶夫根尼·明琴科认为，伊斯坦布尔会谈主要是为了解决两国大使馆和领事工作中长期累积的技术问题，恢复外交机构正常运转需要时间，其中关键是恢复签证制度、解决房产问题和恢复使领馆数量
252,俄政治学者谢尔盖·马尔科夫说，此次会谈不涉及乌克兰问题的具体解决方案，而是针对性解决领事工作问题，这项工作技术性强且较为复杂，双方尚需时间做出最后决定
253,
254,  《通知》还提到，进一步加强县域充换电设施与农村公路等交通基础设施及其沿线配套设施的衔接，拓展应用场景，并统筹考虑新增公共充换电设施与既有设施的空间布局，避免重复建设，有效提升利用率
255,试点县可研究适当增加电动重卡充换电设施，支持重卡加快电动化
256,（记者刘垠）  依据《通知》，中央财政奖励资金专项用于支持县域充换电设施补短板试点工作，由地方统筹用于支持试点县公共充换电设施建设、运营，配电网改造以及能源信息管理等相关支出，不得用于其他国家级充换电设施建设应用推广或试点示范等项目支持下的集中式公共充换电场站建设、集中式专用充换电场站建设、社区公共充换电设施共享，以及充换电网络建设运营等工作
257,
258,  《通知》还提到，进一步加强县域充换电设施与农村公路等交通基础设施及其沿线配套设施的衔接，拓展应用场景，并统筹考虑新增公共充换电设施与既有设施的空间布局，避免重复建设，有效提升利用率
259,试点县可研究适当增加电动重卡充换电设施，支持重卡加快电动化
260,（记者刘垠）  依据《通知》，中央财政奖励资金专项用于支持县域充换电设施补短板试点工作，由地方统筹用于支持试点县公共充换电设施建设、运营，配电网改造以及能源信息管理等相关支出，不得用于其他国家级充换电设施建设应用推广或试点示范等项目支持下的集中式公共充换电场站建设、集中式专用充换电场站建设、社区公共充换电设施共享，以及充换电网络建设运营等工作
261,  《通知》还鼓励两个及以上的县联合申报试点，并作为整体共同完成试点任务及考核等相关工作，联合试点县占用一个试点县名额
262,同时，试点县应因地制宜积极探索换电、光储充、全液冷等新技术新模式应用
263,
264,  “展望当前和今后一个时期，我国发展面临的内外环境仍然复杂严峻，外部环境变化带来的不利影响加深，国内经济运行面临有效需求不足等问题挑战，这是我国推进高质量发展、产业向中高端迈进过程中的阵痛，是发展中、前进中的问题
265,”盛来运说，总的看，我国发展面临的机遇与挑战并存，但有利条件多于不利因素，发展基础稳、优势多、韧性强、潜能大，长期向好的支撑条件和基本趋势没有变，高质量发展的大势没有变，发展的“时”与“势”依然占优
266,
267,  上市公司财务造假严重损害投资者利益
268,我会将从严从快查处各类造假行为，强化行政、民事、刑事立体追责
269,对于触及重大违法强制退市情形的上市公司，将严格执行退市制度，坚决出清此类“害群之马”，让造假者付出惨痛代价
270,
271,  四川的春天，不止绿了山水，也催着人们加快脚步，去迎接新一年的风雨和希望
272,（卢宥伊 张雅雯 吴晓颖）
273,　　在本次人文对话交流会上，新华社国家高端智库发布了《以文明交流互鉴推动人类文明发展进步》智库报告
274,
275,  会议还研究了其他事项
276,
277,  “如果这一区域曾存在海洋，那么，现在可能有大量水分以地下冰的形式被封存，为未来火星基地的水资源利用提供了可能
278,”方广有说
279,（记者张泉）
280,在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
281,公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
282,同时，东风汽车还注重人才培养和团队建设，打造了一支高素质、专业化的队伍
283,这支队伍以创新的思维和严谨的态度，通过自身努力，持续推动东风汽车的发展壮大
284,（文/刘牧平）除了以上四个方面的“跃”系列行动外，东风汽车还注重深化内部管理改革和创新
285,公司通过优化组织架构、完善治理体系、加强人才培养和团队建设等方式，提高组织运营效率和管理水平
286,同时，东风汽车还注重企业文化建设和价值观引领，营造积极向上的企业氛围和文化环境
287,在零部件领域，东风汽车实施了“跃创工程”
288,公司通过加强零部件的研发和生产投入、优化供应链管理等方式，提高零部件的质量和性能
289,同时，东风汽车还注重零部件的国际化发展，推动零部件在全球市场的销售和服务
290,
291,  “下一步，中心将围绕灵活就业人员缴存范围、缴存方式、取用政策、配套措施等重点内容出台专门方案，将灵活就业人员切实纳入住房公积金制度保障范围
292,”兰州住房公积金管理中心相关负责人说
293,（记者 李建广 施 钰 赵帅杰 吴 君）
294,  “如果这一区域曾存在海洋，那么，现在可能有大量水分以地下冰的形式被封存，为未来火星基地的水资源利用提供了可能
295,”方广有说
296,（记者张泉）  “这种大规模的多层倾斜沉积结构只有在持久稳定的大型水体环境中才能形成，而不仅仅是局部、短暂的融水现象
297,”方广有说，研究结果还显示，火星曾长期温暖湿润，中低纬度区域可能曾长期维持适宜液态水存在的温度和气压条件，这表明火星曾经可能是宜居的
298,
299,在深化改革创新的推动下，东风汽车不断激发发展活力，提高组织运营效率
300,公司通过加强自主研发、优化产品结构、拓展海外市场等方式，不断提升自身的竞争力和市场地位
